Bond Name,ISIN,Date,Maturity Date,YTM
CANADA 22/25,CA135087N340,2025-01-06,2025-04-01,0.022280209536476428
CANADA 22/25,CA135087N340,2025-01-07,2025-04-01,0.022483188486352636
CANADA 22/25,CA135087N340,2025-01-08,2025-04-01,0.022483188486352636
CANADA 22/25,CA135087N340,2025-01-09,2025-04-01,0.022483188486352636
CANADA 22/25,CA135087N340,2025-01-10,2025-04-01,0.022280209536476428
CANADA 22/25,CA135087N340,2025-01-13,2025-04-01,0.022280209536476428
CANADA 22/25,CA135087N340,2025-01-14,2025-04-01,0.022280209536476428
CANADA 22/25,CA135087N340,2025-01-15,2025-04-01,0.021874373810421746
CANADA 22/25,CA135087N340,2025-01-16,2025-04-01,0.021671517010421623
CANADA 22/25,CA135087N340,2025-01-17,2025-04-01,0.021063190719602998
CANADA 22/25,CA135087P246,2025-01-17,2025-10-01,0.02989775228528584
CANADA 22/25,CA135087P246,2025-01-16,2025-10-01,0.030000000000000294
CANADA 22/25,CA135087P246,2025-01-15,2025-10-01,0.030920926211709436
CANADA 22/25,CA135087P246,2025-01-14,2025-10-01,0.031433092155203964
CANADA 22/25,CA135087P246,2025-01-13,2025-10-01,0.031228179424296138
CANADA 22/25,CA135087P246,2025-01-08,2025-10-01,0.03020454231930951
CANADA 22/25,CA135087P246,2025-01-09,2025-10-01,0.03010226345389961
CANADA 22/25,CA135087P246,2025-01-07,2025-10-01,0.03020454231930951
CANADA 22/25,CA135087P246,2025-01-06,2025-10-01,0.030000000000000294
CANADA 22/25,CA135087P246,2025-01-10,2025-10-01,0.030920926211709436
CDA 2026,CA135087E679,2025-01-14,2026-06-01,0.029692359192158804
CDA 2026,CA135087E679,2025-01-17,2026-06-01,0.02753749100532511
CDA 2026,CA135087E679,2025-01-16,2026-06-01,0.02795385049269704
CDA 2026,CA135087E679,2025-01-15,2026-06-01,0.0289266834398583
CDA 2026,CA135087E679,2025-01-13,2026-06-01,0.029274575483916303
CDA 2026,CA135087E679,2025-01-07,2026-06-01,0.0278150249507151
CDA 2026,CA135087E679,2025-01-09,2026-06-01,0.027676239033644724
CDA 2026,CA135087E679,2025-01-08,2026-06-01,0.027676239033644724
CDA 2026,CA135087E679,2025-01-06,2026-06-01,0.027676239033644724
CDA 2026,CA135087E679,2025-01-10,2026-06-01,0.028787592355839307
CANADA 21/26,CA135087L930,2025-01-17,2026-09-01,0.02511274762740055
CANADA 21/26,CA135087L930,2025-01-16,2026-09-01,0.025323017666730854
CANADA 21/26,CA135087L930,2025-01-15,2026-09-01,0.026270579050509404
CANADA 21/26,CA135087L930,2025-01-14,2026-09-01,0.027009100379662584
CANADA 21/26,CA135087L930,2025-01-13,2026-09-01,0.026692426058816617
CANADA 21/26,CA135087L930,2025-01-10,2026-09-01,0.026217877996262
CANADA 21/26,CA135087L930,2025-01-08,2026-09-01,0.025480790796701343
CANADA 21/26,CA135087L930,2025-01-07,2026-09-01,0.02553339638160348
CANADA 21/26,CA135087L930,2025-01-06,2026-09-01,0.025428193433896094
CANADA 21/26,CA135087L930,2025-01-09,2026-09-01,0.025323017666730854
CDA 2027,CA135087F825,2025-01-14,2027-06-01,0.02947207774516973
CDA 2027,CA135087F825,2025-01-16,2027-06-01,0.02771317030588638
CDA 2027,CA135087F825,2025-01-15,2027-06-01,0.028698749081677632
CDA 2027,CA135087F825,2025-01-13,2027-06-01,0.02904223532710702
CDA 2027,CA135087F825,2025-01-17,2027-06-01,0.0276703852779381
CDA 2027,CA135087F825,2025-01-09,2027-06-01,0.02728554904768509
CDA 2027,CA135087F825,2025-01-08,2027-06-01,0.027456534695111577
CDA 2027,CA135087F825,2025-01-07,2027-06-01,0.027456534695111577
CDA 2027,CA135087F825,2025-01-06,2027-06-01,0.027328288094312547
